Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,VisitorType_New_Visitor,VisitorType_Returning_Visitor
4.0,68.4,0.0,0.0,14.0,337.5333333,0.0,0.023529412,0.0,0.0,8.0,2.0,2.0,7.0,2.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,12.0,259.5,0.008333333,0.033333333,0.0,0.0,5.0,2.0,4.0,6.0,6.0,0.0,0.0,1.0
10.0,262.0,0.0,0.0,22.0,623.4166667,0.018518519,0.04526749,0.0,0.2,5.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0
13.0,340.5916667,0.0,0.0,43.0,863.3468254,0.0,0.006730769,40.01028435,0.0,11.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.1,0.0,0.0,12.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0
1.0,7.0,1.0,97.0,53.0,2247.608298,0.004848485,0.016751935,32.68969091,0.0,5.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0
8.0,235.1861702,2.0,138.5,71.0,2512.51742,0.006349206,0.025572609,0.0,0.0,11.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0
1.0,17.6,0.0,0.0,12.0,1192.866667,0.0,0.019230769,0.0,0.0,9.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0
1.0,9.0,0.0,0.0,11.0,467.0,0.0,0.02,79.182,0.0,5.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,18.0,491.75,0.0,0.027777778,0.0,0.0,12.0,2.0,2.0,6.0,11.0,0.0,1.0,0.0
1.0,114.8,0.0,0.0,10.0,951.4333333,0.0,0.018181818,0.0,0.0,9.0,3.0,2.0,6.0,1.0,0.0,0.0,1.0
1.0,70.5,0.0,0.0,28.0,1398.9375,0.014285714,0.016269841,17.46396119,0.0,11.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0
2.0,1687.5,0.0,0.0,29.0,3098.033333,0.0,0.025806452,0.0,0.0,5.0,2.0,4.0,5.0,3.0,0.0,0.0,1.0
7.0,78.3,5.0,120.0,87.0,1363.263492,0.004301075,0.008090118,30.80927957,0.6,5.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0
5.0,100.6,3.0,216.6,6.0,432.0,0.0,0.024242424,0.0,0.0,9.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,33.0,1246.708333,0.03030303,0.056986532,0.0,0.0,12.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0
8.0,289.0,0.0,0.0,139.0,5107.034928,0.01544437,0.044005026,8.304903935,0.0,8.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,7.0,1749.0,0.047619048,0.104761905,0.0,0.0,12.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,6.0,202.0,0.033333333,0.05,0.0,0.4,5.0,2.0,2.0,6.0,4.0,0.0,0.0,1.0
0.0,0.0,1.0,56.4,14.0,103.7579088,0.0,0.026666667,45.92878029,0.0,11.0,2.0,2.0,2.0,20.0,0.0,0.0,1.0
