Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,VisitorType_New_Visitor,VisitorType_Returning_Visitor
0.0,0.0,0.0,0.0,2.0,35.0,0.0,0.05,0.0,0.0,11.0,2.0,2.0,1.0,10.0,0.0,1.0,0.0
4.0,134.39,1.0,191.9,24.0,1592.533333,0.003703704,0.013580247,5.245868726,0.0,10.0,3.0,2.0,1.0,5.0,0.0,0.0,1.0
6.0,163.6666667,10.0,403.0,15.0,665.5666667,0.007142857,0.004761905,0.0,0.0,3.0,3.0,2.0,8.0,8.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,26.0,664.85,0.026923077,0.066666667,0.0,0.0,12.0,2.0,10.0,7.0,1.0,1.0,0.0,1.0
3.0,49.5,1.0,29.5,45.0,1545.5,0.0,0.004,20.97144,0.0,3.0,2.0,4.0,3.0,8.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,6.0,231.8,0.066666667,0.066666667,0.0,0.0,10.0,2.0,5.0,3.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,11.0,2.0,5.0,1.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,5.0,82.0,0.0,0.04,0.0,0.0,11.0,2.0,2.0,9.0,8.0,0.0,0.0,1.0
1.0,4.0,0.0,0.0,8.0,244.0,0.02,0.04,15.45198077,0.0,9.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0
5.0,262.5,0.0,0.0,45.0,1456.27381,0.0,0.018707483,13.53068367,0.0,5.0,2.0,2.0,7.0,4.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,21.0,947.0,0.01,0.02,55.8486,0.0,5.0,2.0,2.0,1.0,5.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,13.0,0.0,0.2,0.2,0.0,0.8,5.0,3.0,2.0,2.0,6.0,0.0,0.0,1.0
10.0,117.3333333,0.0,0.0,28.0,631.9896825,0.017647059,0.022794118,10.16517157,0.0,3.0,3.0,7.0,1.0,2.0,0.0,0.0,1.0
3.0,269.1666667,0.0,0.0,36.0,2281.208333,0.022916667,0.046203704,0.0,0.0,5.0,3.0,2.0,6.0,4.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,7.0,203.25,0.0,0.028571429,0.0,0.0,11.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0
6.0,73.3,1.0,0.0,120.0,2872.719031,0.000226757,0.011948854,5.915342917,0.0,8.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0
2.0,34.0,0.0,0.0,8.0,358.0,0.0,0.02,0.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,59.0,3036.4,0.0,0.021186441,0.0,0.0,3.0,2.0,2.0,6.0,13.0,1.0,0.0,1.0
2.0,46.0,0.0,0.0,13.0,195.0,0.0,0.008333333,0.0,0.0,5.0,2.0,2.0,1.0,4.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,12.0,482.5,0.02,0.04,0.0,0.0,11.0,1.0,2.0,1.0,10.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,21.0,597.3333333,0.09047619,0.121428571,0.0,0.6,5.0,3.0,2.0,1.0,13.0,0.0,0.0,1.0
2.0,22.2,0.0,0.0,18.0,470.8966667,0.0,0.005,0.0,0.0,11.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0
8.0,157.0,4.0,60.0,24.0,1192.5,0.015151515,0.033760684,5.689554113,0.0,5.0,2.0,2.0,1.0,7.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,18.0,902.0,0.0,0.007407407,0.0,0.0,2.0,2.0,7.0,2.0,4.0,0.0,0.0,1.0
1.0,56.4,1.0,7.0,72.0,2163.569524,0.015492958,0.032253521,4.286743658,0.0,6.0,2.0,2.0,1.0,13.0,0.0,0.0,1.0
5.0,120.0,1.0,0.0,27.0,1583.596154,0.0,0.028282828,39.63270309,0.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0
4.0,76.125,0.0,0.0,13.0,487.4583333,0.0,0.024444444,0.0,0.0,12.0,2.0,4.0,8.0,2.0,0.0,0.0,1.0
2.0,46.33333333,0.0,0.0,11.0,177.4047619,0.016666667,0.038194444,0.0,0.0,5.0,3.0,2.0,5.0,4.0,0.0,0.0,1.0
8.0,199.625,2.0,10.0,81.0,4272.607937,0.002352941,0.018627451,0.0,0.0,11.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0
12.0,1028.833333,1.0,3.0,155.0,6794.735417,0.002469136,0.015526696,3.726530231,0.0,11.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,3.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0
